variable,chi2,df,p_value,cramers_v
sphericity,1.0270270270270272,2,0.5983894316362455,0.12667792742738293
angularity,4.217970802586188,8,0.8369412460322858,0.1815293279203242
raw material,8.166372304303339,6,0.22616613890547788,0.25258619049221565
