variable,chi2,df,p_value,cramers_v
sphericity,1.0489277155943824,2,0.5918726071989863,0.12703286767873426
angularity,4.217970802586188,8,0.8369412460322858,0.1815293279203242
raw material,14.276835574656088,6,0.02669208458604023,0.26325847956226844
