variable,chi2,df,p_value,cramers_v
sphericity,7.974391233766232,2,0.018551667219913397,0.2081804092420989
angularity,13.635908267889706,8,0.09176298609686133,0.19249441174758325
raw material,29.929455981005038,4,5.058977337297206e-06,0.28518422717016473
