variable,chi2,df,p_value,cramers_v
sphericity,7.974391233766232,2,0.018551667219913397,0.2081804092420989
angularity,13.635908267889706,8,0.09176298609686133,0.19249441174758325
raw material,39.05791555305662,4,6.777168784198091e-08,0.26456807145232225
