dim,eigenvalue,var_%,adj_linear,adj_linear_var_%
Dim1,0.6959336599175597,23.197788663918686,0.5439004898763397,65.89498586201424
Dim2,0.45069713198673916,15.023237732891323,0.17604569798010877,21.32840288874381
Dim3,0.3878625781454499,12.928752604848345,0.08179386721817486,9.909543793877663
Dim4,0.349109944892687,11.636998163089581,0.023664917339030506,2.8670674553642956
Dim5,0.33333333333333304,11.111111111111114,0.0,0.0
Dim6,0.31189342661518216,10.396447553839417,0.0,0.0
Dim7,0.24983752987708194,8.327917662569408,0.0,0.0
Dim8,0.22133239523196355,7.377746507732128,0.0,0.0
Dim9,1.8379965141415585e-31,6.126655047138535e-30,0.0,0.0
Dim10,1.1718739642259557e-31,3.9062465474198564e-30,0.0,0.0
Dim11,8.14181780275801e-32,2.7139392675860065e-30,0.0,0.0
Dim12,6.24857802052623e-33,2.0828593401754126e-31,0.0,0.0
