modality,Dim1,Dim2,Dim3,Dim4,Dim5,Dim6,Dim7,Dim8,Dim9,Dim10,Dim11,Dim12
sphericity_High,9.860079176426584,15.112932120020487,5.791150159358476,0.21260947561959267,1.8373896157851305e-40,0.01987282190622134,6.068030827861052,19.64406782179963,9.74702473222144,10.918320415019213,22.625104743621304,0.0008077061460281897
sphericity_Low,5.898334583238094,25.462119038820873,3.1366075876935096,0.005370346203710174,1.1808750896522306e-29,0.11877214837795944,10.39745072094618,15.297692777462474,8.934772671202936,10.008460380434235,20.739679348319523,0.0007403973005258867
sphericity_S.Def,30.184255893490946,0.8998334754129554,0.5106015080391242,0.2852067550301787,2.147004091405008e-29,0.2241117394024932,0.39334085732606694,0.47756016556344233,0.06786268376624899,16.445009040231476,0.988045128443475,49.52417275329354
angularity_Angular,1.2405245119062471,7.459666358568668,6.348438636301859,0.011971934983370241,64.27269805955692,0.5267170975864224,16.0555504957458,0.9277787055688925,1.026941356228556,1.6102117596161525,0.5193962500381404,0.000104833898978425
angularity_Rounded,5.045855046683966,0.19788905754933767,1.8811499296463463,38.91149481483962,3.917592764979272,19.623995667566003,0.6965619056944733,1.315573015004561,9.242472206056986,14.491905836545413,4.6745662503432674,0.0009435050908055383
angularity_S.Def,30.184255893490974,0.8998334754129546,0.5106015080391231,0.2852067550301774,2.0887076028161135e-29,0.22411173940249415,0.3933408573260684,0.4775601655634423,0.13469873411526964,15.260698644319934,1.1723613627282725,50.45733086457128
angularity_Sub-rounded,3.4201837587560826,16.83291330249107,8.862173396676347,3.4030429542814407,12.46176992651463,7.102709001922436,21.26589720102152,0.04522506017534783,8.655648573926394,13.57178483105044,4.3777683931786076,0.0008836000056749732
angularity_Subangular,3.215151069334924,2.634309607441951,40.05268698806185,5.528063532684396,10.181411067150782,0.007156747585378982,0.07158275228802914,25.683021436325387,4.107765424914221,6.440847038464619,2.077585000152559,0.00041933559591357983
angularity_Well-rounded,3.0531787109216793,14.962956402669892,6.617408258210516,11.980185729154874,9.166528181798403,17.39580765149596,19.410561366173816,5.237707500416331,3.9610595168815697,6.210816787090887,2.0033855358613986,0.000404359324631028
raw material_Basalt,2.915221281098498,8.7556449911032,15.675379886341053,1.0107442309420516,1.0124845941066131e-28,2.7368758898522576,14.20985026760124,15.26976015557059,21.338325989517934,1.9878637254302438,16.094737916145082,0.005595666397792683
raw material_Phonolite,4.4171613916224315,6.6284719276327175,5.575103842423668,6.688966885970005,7.659454068635836e-28,7.012265661478236,10.798632799138549,15.510221864494229,23.472158588469732,2.1866500979732626,17.704211707759594,0.006155233037571092
raw material_Trachyte,0.5657986830295652,0.15343024287593754,5.0386982992081055,31.677136585260573,3.325336059239096e-27,45.007603833424184,0.23919994887711094,0.11383133205571826,9.31126952269873,0.8674314438241043,7.023158363408756,0.0024417453372183925
