dim,eigenvalue,var_%,adj_linear,adj_linear_var_%
Dim1,0.4648815940388173,17.433059776455657,0.19732239105822597,46.68694724156013
Dim2,0.4081820628545347,15.306827357045059,0.11227309428180204,26.56408125438982
Dim3,0.39661477236050796,14.873053963519055,0.09492215854076197,22.45880857251458
Dim4,0.34542158294337083,12.953309360376414,0.018132374415056274,4.290162931535469
Dim5,0.2952563857619794,11.072114466074233,0.0,0.0
Dim6,0.27957802326474684,10.484175872428013,0.0,0.0
Dim7,0.2601602382463247,9.756008934237183,0.0,0.0
Dim8,0.21657200719638328,8.121450269864377,0.0,0.0
Dim9,5.505676236509232e-32,2.0646285886909632e-30,0.0,0.0
Dim10,9.347177106742388e-33,3.5051914150283974e-31,0.0,0.0
Dim11,2.4020014390279774e-33,9.007505396354921e-32,0.0,0.0
