modality,Dim1,Dim2,Dim3,Dim4,Dim5,Dim6,Dim7,Dim8,Dim9,Dim10,Dim11
sphericity_High,12.7113345813548,3.93531479140698,1.8722886333238697,3.2232242821470183,4.813921475408315,9.384072842137407,4.708555716125571,9.351287678096082,0.027582461044386507,0.1228767045868201,49.8495408343687
sphericity_Low,12.711334581354784,3.93531479140698,1.872288633323864,3.2232242821470183,4.813921475408322,9.384072842137394,4.708555716125563,9.35128767809606,0.027582461044386244,0.12287670458682026,49.84954083436872
angularity_Angular,2.764432465481293,16.23596801365997,1.9950787447496565,35.324384123943204,24.7498255084499,0.4168972088146101,6.069102302448451,6.194311632452957,0.027239057373607704,6.20840297744041,0.014357965185988928
angularity_Rounded,8.4618408774124,13.826855141861675,4.006511778188965,17.128448427270463,0.07984383060955302,0.5739988713693898,2.8355426400868544,20.274458433200788,0.14300505121144075,32.594115631562154,0.07537931722644126
angularity_Sub-rounded,4.810943075912878,0.9286536535657136,16.097723894786157,13.011769317619637,0.08332075540746338,11.66290637777612,5.596283218994555,7.183399705937518,0.17705387292845026,40.354619353362644,0.09332677370892771
angularity_Subangular,12.164661830992896,15.20899604684543,0.43612178310802024,11.145071508321593,0.3018531409700363,51.88169350549604,0.5039840244913638,0.5451181597747001,0.034048821717010166,7.760503721800502,0.017947456482486492
angularity_Well-rounded,5.47781900690233,3.347153132050624,30.370471966568413,3.118148837436098,9.897432692716992,1.4927650543473172,33.78183519592699,0.014374114051232557,0.05447811474721641,12.416805954880799,0.028715930371977394
raw material_Basalt,2.3334770708312864,9.52825389599713,15.339804159143508,0.07993611296746542,0.1886253795685179,6.131490015648134,18.513435751393718,2.572477614450277,45.090020228719844,0.19022140002527185,0.0322583712548614
raw material_Lava Indet,4.759451344020057,16.650427192473757,4.131407437751246,11.834882756523795,43.31362376948522,6.766249003723152,2.4345768619146684,0.7343816341080995,9.328969702493774,0.03935615172936566,0.006674145776867996
raw material_Phonolite,17.90591272002471,14.4240268242848,6.0418950641304,1.4324601779590793,4.177447292686884,0.028572053759894495,19.648136482004276,19.15404938514999,17.103111121238555,0.07215294483717277,0.012235933924257736
raw material_Trachyte,15.898792445712697,1.9790365164470909,17.836407904925967,0.47845017366462494,7.580184679288769,2.2772822247905626,1.1999920904879895,24.624853964682362,27.986909107481285,0.11806845518810008,0.02002243733060387
