site,workflow,n_rows,Dim1_raw_%,Dim2_raw_%,Dim1_adj_%,Dim2_adj_%
HWK EE,main,184,20.411742466341874,17.057142378944974,62.1911004719491,28.13538526347991
HWK EE,sensitivity,279,23.197788663918686,15.023237732891323,65.89498586201424,21.32840288874381
MNK Skull,main,64,17.433059776455657,15.306827357045059,46.68694724156013,26.56408125438982
MNK Skull,sensitivity,103,21.30760688840734,13.117866199676808,64.18727719839029,17.69847006543175
EF-HR,main,66,22.495063524255755,18.931074289128848,55.62200316562462,31.474386252484138
EF-HR,sensitivity,109,23.47793627236446,15.325599211230898,59.02129066145532,20.113854922584252
