dim,eigenvalue,var_%,adj_linear,adj_linear_var_%
Dim1,0.7102535629469114,21.307606888407328,0.5653803444203672,64.18727719839002
Dim2,0.4372622066558949,13.117866199676836,0.15589330998384235,17.698470065431874
Dim3,0.3940901190331626,11.82270357099487,0.09113517854974393,10.346519870786036
Dim4,0.37127596798151574,11.138279039445464,0.05691395197227364,6.461405402137613
Dim5,0.34100434336665414,10.230130300999617,0.011506515049981236,1.306327463254462
Dim6,0.2895393653248258,8.68618095974477,0.0,0.0
Dim7,0.27993428389445885,8.39802851683376,0.0,0.0
Dim8,0.2574203093152759,7.72260927945827,0.0,0.0
Dim9,0.2459685679061012,7.37905703718303,0.0,0.0
Dim10,0.006584606908535312,0.1975382072560592,0.0,0.0
Dim11,9.319950097684433e-32,2.795985029305328e-30,0.0,0.0
Dim12,2.7688102083115473e-32,8.306430624934637e-31,0.0,0.0
Dim13,1.551049845945293e-32,4.653149537835875e-31,0.0,0.0
