modality,Dim1,Dim2,Dim3,Dim4,Dim5,Dim6,Dim7,Dim8,Dim9,Dim10,Dim11,Dim12,Dim13
sphericity_High,8.312559533723531,15.097857896969636,2.1863338400284245,1.3081613631167337,2.0322365758464427,3.8333215002843986,11.566398434017508,0.009163340383045284,15.047319424269118,8.567813139904876,9.342276484918779,21.097829076996643,1.5987293895408836
sphericity_Low,7.980682761229889,17.53230059186522,2.144611547108813,4.261301294641691,0.6986650356461798,1.6581442887875897,10.255517804120451,1.9281416065215984,12.456987722749508,10.015686182280504,9.059177197497018,20.458500923148275,1.5502830444032834
sphericity_S.Def,27.869846559587906,0.04903923526266235,0.0011592211505127609,0.686370585035867,0.3152061684690264,0.4132851283975644,0.053158358351336574,1.8589952438685557,0.14141024009730682,31.718325376284177,10.757772922027726,24.29446984623853,1.8409611152289087
angularity_Angular,1.0609061018473298,0.4389183578565847,20.70289341016387,1.618950231030087,37.92808582891914,27.007957698294295,1.123771857278342,1.0246947336118601,4.040958986393065,1.169367648974296,0.5570053691469515,0.862547594864048,2.463942181620076
angularity_Rounded,5.021338925309105,3.613409311207463,22.316809237296063,0.4892460736641072,18.699109132090573,2.393326533603341,4.273596272131762,0.04272750481352952,16.658017467931042,6.104070027389881,2.9242781880214896,4.528374873036233,12.935696453505377
angularity_S.Def,27.167901561605262,0.0697408294914712,0.00023462280148486435,0.9261353892652308,0.288686340592047,0.30085042280265717,0.03443350200938216,2.466106240224173,0.03373201925709573,30.84810140204836,5.430802349182744,8.409839049924413,24.023436270795667
angularity_Sub-rounded,6.052431384030301,4.279248577022017,1.3068712787166248,29.602600079348974,3.6734675615494616,4.0774104859686275,9.298979075326473,1.7371056986943825,6.946688518350299,7.782478894390844,3.620534899455172,5.606559366616312,16.015624180530487
angularity_Subangular,1.264338960782028,21.902108772265088,8.114788717472123,0.04893453196095921,11.256658473318009,1.9084454578600827,45.22983331936658,0.06809384569671809,3.8382919328691654,1.5141370563703833,0.6962567114336843,1.0781844935800573,3.079927727025088
angularity_Well-rounded,3.332270425738678,3.995254124512948,0.008049396384546048,33.938510056644496,16.539262077569063,0.02848973649482995,4.037915617860051,27.627434403969115,0.49505957270653456,2.2307642968576316,1.1140107382938997,1.725095189728095,4.92788436324016
raw material_Basalt,3.9084716346160264,4.6686087607745135,0.560649632102504,16.601422223674266,0.11458112879158355,1.7850657998532422,4.559476152443762,28.048184902921864,1.8590196161745713,0.030442478744775382,21.392403111270706,4.520440619891556,11.9512339387407
raw material_Lava Indet,2.149441668520882,8.447416032739977,14.896915052411034,2.5517562267165492,6.754063647067277,52.53414044766792,1.0464597008714227,3.198669765501353,1.6230604669365354,0.0019604867127203684,3.839662096894736,0.811361136903613,2.1450932710560204
raw material_Phonolite,5.129034247771378,7.749842958984629,11.722285161184672,4.228364926691153,1.4079314668608627,0.012010040555188456,0.9675191997126789,27.94919919338635,16.55661323946264,0.005354905196350116,13.71307891748121,2.897718346084327,7.661047396628634
raw material_Trachyte,0.7507762352377557,12.156254551047875,16.038398883179394,3.73824701820987,0.2920465632803345,4.04755245943021,7.552940706510198,4.041483520407551,20.30284079280311,0.011498104845197296,17.552741014375947,3.709079482987935,9.80614066768467
