variable,chi2,df,p_value,cramers_v
sphericity,0.6300824175824178,2,0.7297588011713526,0.09770723257110141
angularity,3.5485204081632653,8,0.8953915299670803,0.16395953880416114
raw material,3.4426869655280172,4,0.4866462543658532,0.12566678974059337
