variable,chi2,df,p_value,cramers_v
sphericity,0.6300824175824178,2,0.7297588011713526,0.09770723257110141
angularity,3.5485204081632653,8,0.8953915299670803,0.16395953880416114
raw material,2.365453296703296,4,0.6688792041472936,0.133865980490193
