modality,Dim1,Dim2,Dim3,Dim4,Dim5,Dim6,Dim7,Dim8,Dim9,Dim10,Dim11,Dim12
sphericity_High,11.867981380798462,0.08242601514788803,14.790054805969719,3.1202932850193674,8.852785213071964e-37,2.157679771325148,16.274087829698743,3.0558227557993303,23.255071682245003,13.526969191523142,9.480160878165982,2.3894524043071717
sphericity_Indeterminate,26.977482838085564,1.1915271395047595,0.29199949527312735,0.6376828322701381,2.543393993862221e-29,0.6151335836526156,0.05146737722112682,0.5099360917908257,3.8551625917503927,3.646853126043146,11.554279928419351,50.668474995988966
sphericity_Low,5.791615583423629,1.097630569172232,29.86659754099186,1.3549931771609185,7.987404973762184e-29,0.6614904152779435,28.04185707167555,1.5622404407410493,15.115796593459258,8.792529974490032,6.162104570807877,1.5531440627996613
angularity_Angular,1.5497660550421062,3.232666367389315,3.8515627603345175,0.2641118487252632,75.00000000000004,0.39531094766777014,5.412656355311612,0.5635948342811222,5.323137137155977,0.0010796327891317114,4.22034874264316,0.18576531865998797
angularity_Indeterminate,26.977482838085564,1.191527139504771,0.29199949527312735,0.6376828322701377,6.288113748687292e-29,0.6151335836526123,0.05146737722112604,0.5099360917908236,2.6061946594750185,3.9197460067220966,20.757268703010897,42.44156127299385
angularity_Rounded,7.178453107554085,0.1726752472891233,26.154633392941264,1.1045567157313028,8.086924927584507e-29,8.506036905900558,30.05500514203948,0.070229702611407,14.638627127178939,0.002968990170112146,11.605959042268687,0.5108546263149591
angularity_Sub-rounded,4.37359905866462,0.20904488072320282,13.485904464292242,24.337977103740428,14.583333333333334,7.199291177416216,13.846185060913738,4.9365859662317675,9.315489990022959,0.001889357380980451,7.3856102996255375,0.32508930765497407
angularity_Subangular,0.7498331114527901,28.787740117552673,0.8480646343281489,19.875864333875708,10.416666666666618,2.2131481023189936,3.3851749872332837,21.560594507511457,6.653921421444969,0.001349540986414609,5.275435928303962,0.23220664832498766
angularity_Well-rounded,4.573191272969019,19.083395830469765,2.3650766746378404,21.280815400913827,6.081056410323839e-29,20.410142071741568,0.3657927381220089,17.32608976427363,7.9847057057339645,0.0016194491836974334,6.330523113964749,0.27864797798997826
raw material_Basalt,2.86170343953003,1.456852245906965,5.391057178814137,18.27777714903266,8.55349638808989e-28,38.183811335000485,0.41781272926163837,0.38346298667429485,3.7162215715156393,23.15394321381286,5.690083637985608,0.46727451246568663
raw material_Phonolite,6.411611195330648,16.4921652490678,1.4220561422399385,5.416102583131112,3.9479387545463557e-28,7.393953394511879,1.685181657063564,28.151406842875264,3.7162215715156393,23.153943213812873,5.6900836379856,0.46727451246568924
raw material_Trachyte,0.6872801190634419,27.002349198271485,1.2409934149039787,3.6921427381292156,8.693619263144192e-29,11.64886871153428,0.41331167423815973,21.370100015419126,3.819449948502184,23.79710830308542,5.848141516818544,0.480254360034173
