dim,eigenvalue,var_%,adj_linear,adj_linear_var_%
Dim1,0.7043380881709337,23.47793627236446,0.5565071322564006,59.02129066145532
Dim2,0.45976797633692684,15.325599211230898,0.1896519645053903,20.113854922584252
Dim3,0.4328028363509932,14.426761211699777,0.14920425452648983,15.824105683296807
Dim4,0.3650192169661883,12.167307232206277,0.04752882544928244,5.040748732663543
Dim5,0.3333333333333338,11.111111111111128,7.494005416219807e-16,7.947892241665742e-14
Dim6,0.2739400792460405,9.13133597486802,0.0,0.0
Dim7,0.24634744719482876,8.21158157316096,0.0,0.0
Dim8,0.18445102240075434,6.148367413358479,0.0,0.0
Dim9,3.755816823686187e-32,1.2519389412287292e-30,0.0,0.0
Dim10,3.1735333049711274e-32,1.057844434990376e-30,0.0,0.0
Dim11,1.04292638397119e-32,3.476421279903967e-31,0.0,0.0
Dim12,3.244587543991709e-33,1.0815291813305699e-31,0.0,0.0
