modality,Dim1,Dim2,Dim3,Dim4,Dim5,Dim6,Dim7,Dim8,Dim9,Dim10
sphericity_High,0.7687087197225639,14.138105382420992,4.22132943182055,1.7081438266352015e-36,1.1037350259697305,17.995861039512036,1.1661997944935392,39.41459632115203,19.081467315855118,2.1099969690534524
sphericity_Low,1.1826287995731761,21.750931357570682,6.49435297203161,8.586021523283968e-31,1.6980538861072776,27.68594006078772,1.7941535299900553,25.61948760874884,12.40295375530584,1.3714980298847443
angularity_Angular,2.5287989354519302,1.8256992373512773,1.5381237032541575,74.99999999999994,0.048421742482269575,5.601460658406191,1.3362836018420354,2.091397757968894,7.0405013210269,2.989313042216328
angularity_Rounded,0.7724100511851426,27.560323736985143,0.047559923975972834,1.735931169303288e-29,8.952098773261874,29.280450476245278,0.05382370501317029,5.7513438344144445,19.361378632823946,8.220610866094901
angularity_Sub-rounded,0.7732961167437108,8.103701381611941,30.097656344341566,14.583333333333323,6.956698306429969,15.20614774222609,3.067045563192046,3.65994607644556,12.320877311797075,5.231297823878578
angularity_Subangular,28.169504003714064,0.0662275768369331,10.007381018529244,10.416666666666684,6.402636052878227,3.016034428729051,26.770035101130564,2.6142471974611103,8.800626651283604,3.7366413027704035
angularity_Well-rounded,16.029151687776768,7.264659591202305,18.88595678094001,1.2792758866407614e-28,22.751692063380236,0.16242685725695546,16.724294837625425,3.137096636953337,10.560751981540339,4.483969563324497
raw material_Basalt,0.049803085003490205,11.449767465607392,17.3941460209816,1.64138922953264e-29,31.559900195523365,0.147412247257592,0.00503159168706137,6.977409071791666,4.109356345296132,28.30717397685156
raw material_Phonolite,31.07165378587774,1.5290925334214083,4.808320923258708,1.9350023781407472e-29,7.71063536196594,0.796096381921691,29.841776771130125,4.2937901980256505,2.5288346740283965,17.41979937037021
raw material_Trachyte,18.654044814951302,6.311491736991738,6.5051728808663905,2.803511258199356e-29,12.816128592000942,0.10817010765735273,19.24135550389582,6.440685297038466,3.7932520110425894,26.129699055555307
