dim,eigenvalue,var_%,adj_linear,adj_linear_var_%
Dim1,0.5248848155659673,22.495063524255755,0.287327223348951,55.62200316562462
Dim2,0.4417250667463396,18.931074289128848,0.16258760011950943,31.474386252484138
Dim3,0.3777708866834709,16.190180857863048,0.0666563300252064,12.903610581891234
Dim4,0.33333333333333315,14.285714285714285,0.0,0.0
Dim5,0.2696541856618535,11.556607956936585,0.0,0.0
Dim6,0.24600849085005977,10.543221036431138,0.0,0.0
Dim7,0.13995655449230787,5.99813804967034,0.0,0.0
Dim8,2.414610156767897e-32,1.0348329243290992e-30,0.0,0.0
Dim9,1.2607034027053877e-32,5.403014583023093e-31,0.0,0.0
Dim10,7.1105788356313e-33,3.0473909295562728e-31,0.0,0.0
