modality,Dim1,Dim2,Dim3,Dim4,Dim5,Dim6,Dim7,Dim8,Dim9,Dim10
sphericity_High,22.877886375759644,4.308541228166528,0.006379418985541659,1.0906458338860953e-39,0.000494689142134867,0.8721724659388315,28.923773133835184,32.516669535137055,3.2737921810101573,7.220290972024894
sphericity_Low,17.266329340196037,3.2517292288049426,0.00481465583814469,3.715685530513221e-30,0.00037335029595082813,0.6582433705198734,21.82926274251722,43.0845871340565,4.337774639838455,9.566885537932977
angularity_Angular,3.9116757217321427,10.023578335665016,8.338973059945099,52.695669334250915,9.22254926267178,11.880069190199603,1.4185245220587763,0.3771943633896355,2.010219904829189,0.12154630525787878
angularity_Rounded,9.135779621908311,17.032668413428866,10.991706925659859,7.30979919696887,5.8728456551845944,1.3424648030656399,17.131939684859105,4.687987087842615,24.984161674305653,1.5106469367764883
angularity_Sub-rounded,20.285226107287997,0.000754523829278951,0.577049678126428,4.683498203822136,0.052148697011573604,7.515722765093688,20.290617945975914,7.005038177236086,37.33265537539924,2.25728852621774
angularity_Subangular,0.22034580982495072,36.030485343760155,0.043473718408484185,30.99409637234895,0.24319110554534956,21.22181416293255,1.2107511932727109,1.5087774535585416,8.040879619316739,0.4861852210315125
angularity_Well-rounded,8.833323091578672,0.14190438536423713,30.718852465537367,4.316936892609165,34.78088652555476,2.7196568427652803,8.811020441751753,1.45489254450288,7.753705347198298,0.46882146313753187
raw material_Basalt,7.993473526320841,16.145657842182167,4.665731778346993,1.6829454017238568e-28,5.108461446186562,26.652070020807383,0.008082088664995034,3.692236227492608,4.836377198534962,30.89790987146347
raw material_Phonolite,9.191331622853433,12.924087203592533,3.8551729588917962,5.608666237577867e-29,3.5566059550899767,26.954722305466035,0.14890432686606847,4.061459850241875,5.320014918388448,33.98770085860986
raw material_Trachyte,0.2846287825380495,0.14059349520616257,40.79784534026013,4.440924459898053e-29,41.16244331331732,0.18306407321112397,0.22712392019834515,1.611157626542228,2.1104191411788946,13.482724307547695
