dim,eigenvalue,var_%,adj_linear,adj_linear_var_%
Dim1,0.4762739908813103,20.411742466341874,0.21441098632196545,62.1911004719491
Dim2,0.39799998884204935,17.057142378944974,0.09699998326307405,28.13538526347991
Dim3,0.3555670368581839,15.238587293922171,0.0333505552872759,9.673514264570994
Dim4,0.33333333333333315,14.28571428571428,0.0,0.0
Dim5,0.31075610178780044,13.318118648048591,0.0,0.0
Dim6,0.24731247283281543,10.599105978549234,0.0,0.0
Dim7,0.21209040879784047,9.089588948478879,0.0,0.0
Dim8,1.9340278522661285e-32,8.288690795426266e-31,0.0,0.0
Dim9,1.4512972730796832e-32,6.2198454560557865e-31,0.0,0.0
Dim10,3.8021530826398e-33,1.6294941782742004e-31,0.0,0.0
